width: 54, height: 211
drawing at 23, 32
drawing at 23, 32
drawing at 23, 32
drawing at 23, 31
drawing at 23, 32
drawing at 23, 33
drawing at 23, 33
drawing at 23, 33
drawing at 23, 33
drawing at 23, 33
drawing at 23, 33
drawing at 23, 32
drawing at 23, 32
drawing at 23, 32
drawing at 23, 32
drawing at 23, 32
drawing at 23, 32
drawing at 24, 33
drawing at 24, 33
drawing at 24, 34
drawing at 24, 33
drawing at 24, 34
drawing at 24, 34
drawing at 24, 34
drawing at 24, 33
drawing at 24, 32
drawing at 24, 33
drawing at 24, 32
drawing at 24, 33
drawing at 24, 32
drawing at 24, 32
drawing at 24, 31
drawing at 24, 32
drawing at 24, 32
drawing at 24, 33
drawing at 24, 34
drawing at 24, 34
drawing at 24, 34
drawing at 24, 34
drawing at 24, 34
drawing at 24, 34
drawing at 24, 34
drawing at 24, 34
drawing at 24, 33
drawing at 24, 33
drawing at 24, 33
drawing at 24, 33
drawing at 25, 33
drawing at 25, 33
drawing at 25, 32
drawing at 25, 32
drawing at 25, 32
drawing at 25, 32
drawing at 25, 31
drawing at 25, 31
drawing at 25, 31
drawing at 25, 32
drawing at 25, 32
drawing at 25, 31
drawing at 25, 30
drawing at 25, 31
drawing at 25, 32
drawing at 25, 31
drawing at 25, 31
drawing at 25, 32
drawing at 25, 32
drawing at 25, 32
drawing at 25, 31
drawing at 25, 30
drawing at 25, 30
drawing at 25, 30
drawing at 25, 30
drawing at 25, 31
drawing at 25, 30
drawing at 26, 29
drawing at 26, 29
drawing at 26, 30
drawing at 26, 30
drawing at 26, 30
drawing at 26, 30
drawing at 26, 30
drawing at 26, 30
drawing at 26, 29
drawing at 26, 29
drawing at 26, 29
drawing at 26, 28
drawing at 26, 28
drawing at 26, 28
drawing at 26, 28
drawing at 26, 27
drawing at 26, 27
drawing at 26, 27
drawing at 26, 27
drawing at 26, 27
drawing at 26, 26
drawing at 26, 27
drawing at 26, 28
drawing at 26, 27
drawing at 26, 28
drawing at 26, 28
drawing at 26, 29
drawing at 26, 29
